"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.284520625E0,2.926614465E0,-2.729614168E0,6.085806609E0,7.283742707E0
2.294477625E0,5.242655654E0,-3.480593709E0,4.695503911E0,7.851606705E0
2.304435625E0,6.131379223E0,-3.915033646E0,2.898494912E0,7.830873028E0
2.314393625E0,5.519395015E0,-4.759120740E0,1.127415976E0,7.374552077E0
2.324351625E0,4.096559286E0,-5.942970241E0,-3.146348736E-1,7.224935181E0
2.334309625E0,2.647216082E0,-7.160459358E0,-9.107751739E-1,7.688266554E0
2.344266625E0,1.218729896E0,-8.405255556E0,-9.278388110E-1,8.543682367E0
2.354224625E0,1.407237331E-1,-9.653359525E0,-8.436546931E-1,9.691176736E0
2.364182625E0,-6.031645605E-1,-1.066319764E1,-7.494674510E-1,1.070650703E1
2.374140625E0,-1.136610430E0,-1.117549559E1,-8.333200318E-1,1.126401382E1
2.384098625E0,-1.530433853E0,-1.110607979E1,-1.301825262E0,1.128636279E1
2.394055625E0,-1.678649367E0,-1.070572795E1,-1.718936099E0,1.097201968E1
2.404013625E0,-1.514581466E0,-1.048925935E1,-1.967174377E0,1.077906739E1
2.413971625E0,-1.489324711E0,-1.033643418E1,-1.983607099E0,1.062989449E1
2.423929625E0,-1.712190751E0,-1.020642485E1,-1.514204613E0,1.045923138E1
2.433886625E0,-1.874250425E0,-1.033583776E1,-7.989986300E-1,1.053474042E1
2.443844625E0,-1.766480978E0,-1.057205241E1,-1.654639238E-1,1.071989392E1
2.453802625E0,-1.452423225E0,-1.062142162E1,1.233037448E-1,1.072097637E1
2.463760625E0,-1.120581531E0,-1.040894901E1,2.485212833E-2,1.046912318E1
2.473718625E0,-9.376340666E-1,-1.015574820E1,-2.730661404E-1,1.020259498E1
2.483675625E0,-8.182157966E-1,-9.893404684E0,-5.233468509E-1,9.940967018E0
2.493633625E0,-7.947735782E-1,-9.565571183E0,-6.390787438E-1,9.619783716E0
2.503591625E0,-9.013545055E-1,-9.214228951E0,-7.979557791E-1,9.292534021E0
2.513549625E0,-1.075958724E0,-8.929325123E0,-8.759023798E-1,9.036467192E0
2.523506625E0,-1.337147415E0,-8.613790655E0,-6.992603338E-1,8.744959558E0
2.533464625E0,-1.675736285E0,-8.212017358E0,-5.507574284E-1,8.399324671E0
2.543422625E0,-1.997294261E0,-7.633955187E0,-5.291051888E-1,7.908628734E0
2.553380625E0,-2.175804493E0,-6.667306359E0,-1.976288724E-1,7.016135435E0
2.563337625E0,-2.253293256E0,-5.207532599E0,4.008047059E-1,5.688266052E0
2.573295625E0,-2.355616607E0,-3.448980153E0,1.215908614E0,4.350037638E0
2.583253625E0,-2.437427632E0,-1.404967808E0,2.793031315E0,3.964342559E0
2.593211625E0,-2.387255014E0,1.249282182E0,4.667677304E0,5.389517964E0
2.603169625E0,-2.747315736E0,4.827240218E0,5.854187288E0,8.069789382E0
2.613126625E0,-2.694176825E0,8.922747005E0,6.089502634E0,1.113355492E1
2.623084625E0,-1.863325488E0,1.278290921E1,6.483620757E0,1.445379147E1
2.633042625E0,-7.823165238E-1,1.587057704E1,7.896194038E0,1.774364999E1
2.643000625E0,7.336405000E-1,1.726705820E1,1.057688338E1,2.026227997E1
2.652958625E0,8.787526050E-1,1.836341231E1,1.361133103E1,2.287477760E1
2.662915625E0,-4.714759085E-1,1.967401190E1,1.538740056E1,2.498121554E1
2.672873625E0,-1.233966570E0,1.928047675E1,1.579093680E1,2.495221717E1
2.682831625E0,-1.204769376E0,1.776656829E1,1.541557596E1,2.355297009E1
2.692789625E0,-1.429363268E0,1.751127418E1,1.395522332E1,2.243738088E1
2.702746625E0,-1.309024647E0,1.742990901E1,1.169002017E1,2.102788256E1
2.712704625E0,-4.590368342E-1,1.722793097E1,9.552847642E0,1.970454817E1
2.722662625E0,3.837647501E-1,1.681364522E1,7.654527445E0,1.847803375E1
2.732620625E0,1.295524010E0,1.488002246E1,5.552514814E0,1.593498891E1
2.742578625E0,2.274839369E0,1.158145725E1,4.002712060E0,1.246301529E1
2.752535625E0,2.477208872E0,7.655215663E0,3.770458900E0,8.885676730E0
2.762493625E0,2.356481410E0,3.583562592E0,4.686397457E0,6.352735365E0
2.772451625E0,1.984394134E0,-1.611861008E-1,5.880489818E0,6.208378334E0
2.782409625E0,1.553554913E0,-3.674818332E0,6.821817863E0,7.902848954E0
2.792366625E0,1.471184894E0,-6.517594834E0,7.372473550E0,9.949713245E0
2.802324625E0,1.645108861E0,-8.206830878E0,7.144309348E0,1.100452690E1
2.812282625E0,2.169991776E0,-9.105291815E0,6.052465786E0,1.114663830E1
2.822240625E0,2.784515137E0,-9.555884101E0,4.228077199E0,1.081411496E1
2.832197625E0,3.023515984E0,-9.806118034E0,1.949912226E0,1.044527441E1
2.842155625E0,3.012745998E0,-1.021810057E1,-2.869433373E-2,1.065302967E1
2.852113625E0,2.691272221E0,-1.071451514E1,-1.224523902E0,1.111500066E1
2.862071625E0,2.189030018E0,-1.105468276E1,-1.904160103E0,1.142907210E1
2.872029625E0,1.740655581E0,-1.147404273E1,-2.314164526E0,1.183380310E1
2.881986625E0,1.061403469E0,-1.182193335E1,-2.314001973E0,1.209294384E1
2.891944625E0,2.868994832E-1,-1.186290362E1,-2.082205188E0,1.204767082E1
2.901902625E0,-1.850735117E-1,-1.196322079E1,-1.942437731E0,1.212130225E1
2.911860625E0,-4.621172205E-1,-1.189995158E1,-2.049956917E0,1.208406899E1
2.921817625E0,-4.520763818E-1,-1.165229276E1,-2.131879916E0,1.185433303E1
2.931775625E0,-2.580826503E-1,-1.142333802E1,-2.330241153E0,1.166144425E1
2.941733625E0,-3.546743406E-1,-1.111613232E1,-2.661019019E0,1.143569910E1
2.951691625E0,-5.404695448E-1,-1.105137558E1,-2.635818397E0,1.137420538E1
2.961649625E0,-7.770994187E-1,-1.102303529E1,-2.295013725E0,1.128619859E1
2.971606625E0,-1.104318377E0,-1.090777966E1,-2.046148625E0,1.115284270E1
2.981564625E0,-1.321181008E0,-1.076086953E1,-1.973050828E0,1.101974419E1
2.991522625E0,-1.529510285E0,-1.052069866E1,-1.887177450E0,1.079749696E1
3.001480625E0,-1.753422099E0,-1.022364607E1,-1.697772101E0,1.051093992E1
3.011437625E0,-1.950356030E0,-9.788509728E0,-1.334564115E0,1.006975038E1
3.021395625E0,-1.979748521E0,-9.263608103E0,-1.106610998E0,9.537212758E0
3.031353625E0,-1.812240996E0,-8.623919202E0,-1.090543726E0,8.879498040E0
3.041311625E0,-1.627126334E0,-7.964773691E0,-8.554879957E-1,8.174167834E0
3.051269625E0,-1.564469033E0,-7.322986225E0,-4.531603825E-1,7.501936079E0
3.061226625E0,-2.160785042E0,-6.470367458E0,-7.235315412E-2,6.822014513E0
3.071184625E0,-2.854295224E0,-5.350670099E0,1.156012076E-1,6.065478990E0
3.081142625E0,-3.361880613E0,-3.892111976E0,3.513697135E-1,5.155020617E0
3.091100625E0,-3.702772993E0,-2.118683628E0,1.329348106E0,4.468390599E0
